,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track,artist,msPlayed,datetime
0,0.636,0.711,2,-8.674,1,0.0284,0.113,0.102,0.31,0.845,120.971,audio_features,5CSMQdHb9n0NwgieAlJQ8W,spotify:track:5CSMQdHb9n0NwgieAlJQ8W,https://api.spotify.com/v1/tracks/5CSMQdHb9n0NwgieAlJQ8W,https://api.spotify.com/v1/audio-analysis/5CSMQdHb9n0NwgieAlJQ8W,166365,4,Polar Onion,Allah-Las,166364,2024-01-12 10:40:00
0,0.609,0.296,9,-9.929,1,0.0304,0.893,0.0187,0.103,0.529,138.72,audio_features,0vZUoQhhcLl9tdHRt3QwvJ,spotify:track:0vZUoQhhcLl9tdHRt3QwvJ,https://api.spotify.com/v1/tracks/0vZUoQhhcLl9tdHRt3QwvJ,https://api.spotify.com/v1/audio-analysis/0vZUoQhhcLl9tdHRt3QwvJ,267856,4,Self Centered Blues,Natural Child,41088,2024-01-12 10:41:00
0,0.673,0.941,2,-5.912,1,0.033,0.142,0.436,0.626,0.886,120.342,audio_features,0tQumXkf8SIbqvoNvcPVBY,spotify:track:0tQumXkf8SIbqvoNvcPVBY,https://api.spotify.com/v1/tracks/0tQumXkf8SIbqvoNvcPVBY,https://api.spotify.com/v1/audio-analysis/0tQumXkf8SIbqvoNvcPVBY,203333,4,Servo,The Brian Jonestown Massacre,203333,2024-01-12 10:44:00
0,0.465,0.871,9,-4.178,1,0.03,0.109,0.146,0.171,0.634,131.901,audio_features,4ut69OC6WaDcjxkTELBzmn,spotify:track:4ut69OC6WaDcjxkTELBzmn,https://api.spotify.com/v1/tracks/4ut69OC6WaDcjxkTELBzmn,https://api.spotify.com/v1/audio-analysis/4ut69OC6WaDcjxkTELBzmn,207582,4,Busman's Holiday,Allah-Las,207582,2024-01-12 10:48:00
0,0.66,0.821,2,-4.565,1,0.0307,0.041,0.0312,0.105,0.86,112.004,audio_features,742oWlfJlZRsX6SA2QLRtD,spotify:track:742oWlfJlZRsX6SA2QLRtD,https://api.spotify.com/v1/tracks/742oWlfJlZRsX6SA2QLRtD,https://api.spotify.com/v1/audio-analysis/742oWlfJlZRsX6SA2QLRtD,194292,4,Peace Blossom Boogy,Babe Rainbow,32533,2024-01-12 10:50:00
0,0.329,0.87,6,-6.495,1,0.0412,0.0694,0.552,0.141,0.423,173.748,audio_features,4WAdp942PlluX1LilDKQNg,spotify:track:4WAdp942PlluX1LilDKQNg,https://api.spotify.com/v1/tracks/4WAdp942PlluX1LilDKQNg,https://api.spotify.com/v1/audio-analysis/4WAdp942PlluX1LilDKQNg,140933,4,"Laid, Paid, and Strange",Natural Child,140933,2024-01-12 10:50:00
0,0.627,0.426,7,-12.295,1,0.0265,0.661,0.335,0.181,0.72,91.732,audio_features,6V73VkTADCRJV1M8e7bHYA,spotify:track:6V73VkTADCRJV1M8e7bHYA,https://api.spotify.com/v1/tracks/6V73VkTADCRJV1M8e7bHYA,https://api.spotify.com/v1/audio-analysis/6V73VkTADCRJV1M8e7bHYA,143880,3,Bailando Con Lobos,Natural Child,143880,2024-01-12 10:53:00
0,0.575,0.691,5,-7.595,0,0.03,0.0377,0.563,0.0657,0.734,131.583,audio_features,2mAAhfG6s4OeBHnF5zzmpJ,spotify:track:2mAAhfG6s4OeBHnF5zzmpJ,https://api.spotify.com/v1/tracks/2mAAhfG6s4OeBHnF5zzmpJ,https://api.spotify.com/v1/audio-analysis/2mAAhfG6s4OeBHnF5zzmpJ,215973,4,Ferus Gallery,Allah-Las,215973,2024-01-12 10:56:00
0,0.266,0.884,8,-7.113,1,0.0693,0.0534,3.73e-05,0.106,0.857,166.761,audio_features,0I3eibER6eW68odYavfFFy,spotify:track:0I3eibER6eW68odYavfFFy,https://api.spotify.com/v1/tracks/0I3eibER6eW68odYavfFFy,https://api.spotify.com/v1/audio-analysis/0I3eibER6eW68odYavfFFy,139800,4,I Don't Mind,Psychic Ills,63231,2024-01-12 11:08:00
0,0.747,0.644,2,-6.253,0,0.03,0.0865,0.863,0.126,0.88,90.007,audio_features,0We07dgjYDwoR9ex4BscSQ,spotify:track:0We07dgjYDwoR9ex4BscSQ,https://api.spotify.com/v1/tracks/0We07dgjYDwoR9ex4BscSQ,https://api.spotify.com/v1/audio-analysis/0We07dgjYDwoR9ex4BscSQ,175115,4,Trying to Escape,Arc De Soleil,175115,2024-01-12 15:33:00
0,0.556,0.546,9,-13.215,1,0.0285,0.117,0.845,0.115,0.427,91.887,audio_features,0Ku9zP02uHYS4HH6jNLxV0,spotify:track:0Ku9zP02uHYS4HH6jNLxV0,https://api.spotify.com/v1/tracks/0Ku9zP02uHYS4HH6jNLxV0,https://api.spotify.com/v1/audio-analysis/0Ku9zP02uHYS4HH6jNLxV0,447999,4,Staring At The Sun,Wooden Shjips,306923,2024-01-12 15:38:00
0,0.774,0.847,7,-5.533,0,0.036,0.00995,0.772,0.0469,0.961,127.986,audio_features,3Z9uims4BXsx1DtETrjNDo,spotify:track:3Z9uims4BXsx1DtETrjNDo,https://api.spotify.com/v1/tracks/3Z9uims4BXsx1DtETrjNDo,https://api.spotify.com/v1/audio-analysis/3Z9uims4BXsx1DtETrjNDo,191693,4,Madan,Salif Keita,359733,2024-01-12 15:44:00
0,0.543,0.607,9,-7.184,1,0.0311,0.00238,0.842,0.148,0.426,82.681,audio_features,48JaGYxY9H9UbRWFd1tYUg,spotify:track:48JaGYxY9H9UbRWFd1tYUg,https://api.spotify.com/v1/tracks/48JaGYxY9H9UbRWFd1tYUg,https://api.spotify.com/v1/audio-analysis/48JaGYxY9H9UbRWFd1tYUg,220722,4,Mandrake handshake,The Brian Jonestown Massacre,220722,2024-01-12 15:48:00
0,0.412,0.94,4,-4.566,1,0.0405,0.000198,0.454,0.128,0.847,79.891,audio_features,1hTXo2iVw4fMyAwt9nzA51,spotify:track:1hTXo2iVw4fMyAwt9nzA51,https://api.spotify.com/v1/tracks/1hTXo2iVw4fMyAwt9nzA51,https://api.spotify.com/v1/audio-analysis/1hTXo2iVw4fMyAwt9nzA51,281293,4,Vad Hände Med Dem?,The Brian Jonestown Massacre,281293,2024-01-12 15:53:00
