track_id,artist,track,album_id,imgUrl
23Glh1ykxUAZI43Ac9E8xw,King Crimson,The Great Deceiver,4ttC4XUinZXn3GMIQNrjFZ,https://i.scdn.co/image/ab67616d00004851ebb799f3ca90f59bd04f6a72
5j4fSU12bw4G6JDVPU7JTB,King Crimson,"Epitaph - Including ""March for No Reason"" and ""Tomorrow and Tomorrow""",75ol9OP8bJaRqzGimpFHDm,https://i.scdn.co/image/ab67616d00004851da7b326bd7ffa7b6b95b0660
3RCzjFapKNbQNfX0VR3hiD,King Crimson,Ladies of the Road,1dbVSQR5jcw5rdngMyA3d8,https://i.scdn.co/image/ab67616d00004851e0d2d12a833288b2ecc09c9d
4KTar3zcsiZf8VMEctmvGY,King Crimson,Sailor's Tale,1XA1L26tFXDVTYqYtnFFnv,https://i.scdn.co/image/ab67616d00004851e6dd02aa5f2f1b67badd885c
2JGyhooUQ9RVCd7uJAebUc,King Crimson,Cirkus (including Entry of the Chameleons),4vvx8uOeJE7YR4tORVtYV4,https://i.scdn.co/image/ab67616d000048518f4652132e153badd7017df4
4s8o9hycJNwFQADitakIQn,King Crimson,Coda Marine 475,5A1knO3o9ippL0nFuKl0Kh,https://i.scdn.co/image/ab67616d00004851e61d2abd4c80c6795759c8b0
4eBCTzBsSjYgrLH5clQf2x,Talking Heads,Born Under Punches (The Heat Goes On) - 2005 Remaster,3AQgdwMNCiN7awXch5fAaG,https://i.scdn.co/image/ab67616d00004851e56fa8c916dc6ce419dcf557
3kfsFQhrPxNKmZLgm26u0U,Talking Heads,Paper,4OLsnJQPTX0S6lODXw1MqC,https://i.scdn.co/image/ab67616d00004851874328096de13649dd64c790
7tzxJBTk35iJREdh8LkWOm,Talking Heads,Pull up the Roots - 2005 Remaster,4sLCQxMRfn3gAHrBNZtbTH,https://i.scdn.co/image/ab67616d00004851e35e2e2a4bfa8a30a78fc532
6VyR9z26oKw6BvlwSjqvoY,Talking Heads,Girlfriend Is Better - 2005 Remaster,4sLCQxMRfn3gAHrBNZtbTH,https://i.scdn.co/image/ab67616d00004851e35e2e2a4bfa8a30a78fc532
438kAOxGJQtpEkVMom9WXJ,Talking Heads,Listening Wind - 2005 Remaster,3AQgdwMNCiN7awXch5fAaG,https://i.scdn.co/image/ab67616d00004851e56fa8c916dc6ce419dcf557
2MfrET7Nc3StKQcGoZKqr9,King Crimson,"21st Century Schizoid Man - Including ""Mirrors""",75ol9OP8bJaRqzGimpFHDm,https://i.scdn.co/image/ab67616d00004851da7b326bd7ffa7b6b95b0660
1yUnARPwsdS81S9LufkTFP,King Crimson,A Man A City [Bonus Track] - Live At the Fillmore West,75ol9OP8bJaRqzGimpFHDm,https://i.scdn.co/image/ab67616d00004851da7b326bd7ffa7b6b95b0660
3RpQJrHPISBYkIYaoL4leS,King Crimson,Lament,4ttC4XUinZXn3GMIQNrjFZ,https://i.scdn.co/image/ab67616d00004851ebb799f3ca90f59bd04f6a72
6qBBAtADaMEbJWtyedp82N,King Crimson,The Letters,1XA1L26tFXDVTYqYtnFFnv,https://i.scdn.co/image/ab67616d00004851e6dd02aa5f2f1b67badd885c
0QPSEHa4xVcvhliExodM3y,King Crimson,Easy Money,6ELt0QaMOwPGPzfdEXE839,https://i.scdn.co/image/ab67616d00004851aa9e5286056e17ff3d9b2881
3yHy9np8niTOorWkmJu1il,King Crimson,Exiles,6ELt0QaMOwPGPzfdEXE839,https://i.scdn.co/image/ab67616d00004851aa9e5286056e17ff3d9b2881
4zGNUdGxpwnC7HN27Muzpl,King Crimson,Inner Garden I,5A1knO3o9ippL0nFuKl0Kh,https://i.scdn.co/image/ab67616d00004851e61d2abd4c80c6795759c8b0
4zGNUdGxpwnC7HN27Muzpl,King Crimson,Inner Garden II,5A1knO3o9ippL0nFuKl0Kh,https://i.scdn.co/image/ab67616d00004851e61d2abd4c80c6795759c8b0
03KInBqi0mGqFRuvJuCIUo,King Crimson,Prelude - Song Of The Gulls,1XA1L26tFXDVTYqYtnFFnv,https://i.scdn.co/image/ab67616d00004851e6dd02aa5f2f1b67badd885c
3bbfY8yDDwzLvvx3tFwy8i,King Crimson,Starless,4mA3RKIoEoX4JlJSHueQae,https://i.scdn.co/image/ab67616d000048513167627d9428094376a26a08
3P5dl0cvsaeqrERl8aVfLm,King Crimson,Formentera Lady,1XA1L26tFXDVTYqYtnFFnv,https://i.scdn.co/image/ab67616d00004851e6dd02aa5f2f1b67badd885c
7eMkpeyqJlUZ1c4SMiJpOR,King Crimson,Two Hands,6gp8D4NmYCcBz55J0s4QXH,https://i.scdn.co/image/ab67616d0000485113f0fbd1d0cc07d80df11a51
2cTfzU2iNMI9aZSPOL3mYx,King Crimson,Larks' Tongues In Aspic (Part I),6ELt0QaMOwPGPzfdEXE839,https://i.scdn.co/image/ab67616d00004851aa9e5286056e17ff3d9b2881
7C4BLynLRraazjI5sivTmC,King Crimson,Providence,4mA3RKIoEoX4JlJSHueQae,https://i.scdn.co/image/ab67616d000048513167627d9428094376a26a08
2zQl59dZMzwhrmeSBEgiXY,Herbie Hancock,Watermelon Man,5fmIolILp5NAtNYiRPjhzA,https://i.scdn.co/image/ab67616d000048516b75d57d2d070c0c4afb3f9a
6pqWrRF9K2PHpBmmRSIte4,Frank Zappa,Cosmik Debris,3EbtMJsHbspjhN6Xd4plIu,https://i.scdn.co/image/ab67616d0000485185b05f4bb3c88cf252f96b68
5floNyItopWZyB4IzKrJtW,Masayoshi Takanaka,トーキョーレギー,7BQPfd39YTObQGamGhDF7g,https://i.scdn.co/image/ab67616d000048513174a9f789d91a20d3ef14aa
15DKVRxHhKqRmIE2L6G82h,CASIOPEA,ティアーズ・オブ・ザ・スター,3uFgYgCEvCSACjB8XHl3hb,https://i.scdn.co/image/ab67616d00004851648478cb25e3e302454e40e1
0og2U8tsBAR7NJysRR6uBU,Al Di Meola,"Mediterranean Sundance / Rio Ancho - Live at Warfield Theatre, San Francisco, CA - December 5, 1980",2zJMxui25tclR2FYj8jDYT,https://i.scdn.co/image/ab67616d0000485171178f8b84cffcf181a92a69
5z7deaTe21B7QVPhSDouL1,Keith Jarrett,'Long As You Know You're Living Yours,6dmq2NJgWAvrzRVrpPwkzv,https://i.scdn.co/image/ab67616d00004851b17756e07aab35fbe922f1c6
5aRj6TIRELABhgVasaff5g,Steely Dan,Doctor Wu,12N6IsuqIJzbTXdIrJnc9b,https://i.scdn.co/image/ab67616d00004851d72ce442e7717e75315dd7a1
4PPwkLq2ld1k09Bl5NkyZB,Frank Zappa,Uncle Remus,3EbtMJsHbspjhN6Xd4plIu,https://i.scdn.co/image/ab67616d0000485185b05f4bb3c88cf252f96b68
2cgNpsfZcBzdgeNPEeCnue,Steely Dan,Aja,1hOK2ey9W76x9GnftSRgrw,https://i.scdn.co/image/ab67616d00004851cf39e4261576717ff4737bb6
30yqK9uSBaV0OXkRVwJmva,Camel,The Snow Goose,7ny9OWZ336Y4gGSSgHlkFB,https://i.scdn.co/image/ab67616d00004851efb0c17ee823ccfa2a091663
77wOpffkkQtZpdrvhPKbFq,Jeff Beck,Goodbye Pork Pie Hat,0vo9nZNFMaFASINLCzmzcU,https://i.scdn.co/image/ab67616d00004851448b8036b31074e2af5594d8
1duCwvL46t9SlaUcAskHJR,Jeff Beck,She's a Woman,6fhTDVBs7qeoP3254hMu6u,https://i.scdn.co/image/ab67616d000048513ed60b59aaa75ed572d7fc30
2k688MzQ1ycIwQ5dkTRJpR,Camel,Rhayader,7ny9OWZ336Y4gGSSgHlkFB,https://i.scdn.co/image/ab67616d00004851efb0c17ee823ccfa2a091663
4UFTaEAvvdhr1yOJwnwGyY,Frank Zappa,Zoot Allures,3rxfGp9OzH5jjEDX1nFqJc,https://i.scdn.co/image/ab67616d0000485141be8ba3a86f380b8e1d13e9
4ZNYJOxZ1Sy31bONMhaxJo,Masayoshi Takanaka,E. S. P.,0vwbjXHNUq65nNaz2Vxjmd,https://i.scdn.co/image/ab67616d00004851e45429960f838f817227516a
2LAMzLZLIK9zCgABZv5Ano,Masayoshi Takanaka,MALIBU,0vwbjXHNUq65nNaz2Vxjmd,https://i.scdn.co/image/ab67616d00004851e45429960f838f817227516a
5427wDDhMPdeitkSUWnUd0,Traffic,Rock 'N' Roll Stew,6DUa06cy7WWvhba9Jiheyg,https://i.scdn.co/image/ab67616d0000485135f303dac15ef3f9d3a48d00
0FZvr22qlD6sEJ0RDJWmvE,Camel,Supertwister,2DZEwt8Lhz6PuqxsJWF7Ap,https://i.scdn.co/image/ab67616d0000485111537abd008a150b3f88dcaf
1nyLujWRDFnsuKkz1Iq387,Yes,Siberian Khatru - 2003 Remaster,6344rkGqCBDenGoS7eJlBN,https://i.scdn.co/image/ab67616d00004851b7521f4f408968a265bebd91
0Q2dRzhPWFOex89dOjbq5Y,Frank Zappa,Watermelon In Easter Hay,6uJkCskko3O83SRYWQVsjS,https://i.scdn.co/image/ab67616d00004851aa7ac662f49e6ac185cba6be
4Ce66JznW8QbeyTdSzdGwR,Herbie Hancock,Chameleon,5fmIolILp5NAtNYiRPjhzA,https://i.scdn.co/image/ab67616d000048516b75d57d2d070c0c4afb3f9a
19vVghIuHm3IAfN4xpRF3q,Weather Report,Birdland,2M9F2yYsUvqiBPwUGeNvn1,https://i.scdn.co/image/ab67616d00004851d5e3abdd3cb309fa4c77f7f3
4IDdUssauEYJ9kTit6tOU6,Jaco Pastorius,Chicken,7sZtHAjAPbZmch3HLiA3g7,https://i.scdn.co/image/ab67616d00004851413b32aa3c185a2b601185e8
3Vnd9kqU36jdtgXXcxEJHW,Weather Report,Teen Town,2S2ujEbkeFUblmiNjf1e0f,https://i.scdn.co/image/ab67616d00004851dc676a8b0a1ad6284b6996f9
7nB00pmlT3Dc6Vd536ha3l,Masayoshi Takanaka,蜃気楼の島へ,7BQPfd39YTObQGamGhDF7g,https://i.scdn.co/image/ab67616d000048513174a9f789d91a20d3ef14aa
1QYpsiC3a6kg1mrWKZ9PHK,Camel,Migration,7ny9OWZ336Y4gGSSgHlkFB,https://i.scdn.co/image/ab67616d00004851efb0c17ee823ccfa2a091663
0MaM0yE9EdQEJwDfs6EAZ9,CASIOPEA,タイム・リミット,3uFgYgCEvCSACjB8XHl3hb,https://i.scdn.co/image/ab67616d00004851648478cb25e3e302454e40e1
1lsvp57NI8vTXOdowNQJRz,Jean-Luc Ponty,Don't Let the World Pass You By,6EfLu75i2jqhN4s4xlqh6m,https://i.scdn.co/image/ab67616d00004851b5d4374a23ae05bbc834f78d
22W574PUUECix1yNCWalgx,Grateful Dead,The Golden Road - 2013 Remaster,2Qkp6ALKO8kcONs4zq1t2D,https://i.scdn.co/image/ab67616d000048518256c5f5e31415ff8d3fff92
