id,artist,track,album_id,imgUrl
2hDMI3I7WGgHmP4EGAk7la,Talking Heads,Houses in Motion - 2005 Remaster,3AQgdwMNCiN7awXch5fAaG,https://i.scdn.co/image/ab67616d00004851e56fa8c916dc6ce419dcf557
1RqNYDlHoHNdr3QGLtzKtb,Talking Heads,Love for Sale - 2005 Remaster,5PvkD4XryLL9oC4NFItYIM,https://i.scdn.co/image/ab67616d00004851851ebc64ba218563cbc1fa99
3tAFhUlDu5rRmpKDsw0oCn,Talking Heads,The Girl Wants to Be with the Girls - 2005 Remaster,01RJdKvXyz515O37itqMIJ,https://i.scdn.co/image/ab67616d00004851b7307213fae24e3fbcbe46aa
1w3IeWPxVHuw0gyXcGV2pN,Talking Heads,Sugar on My Tongue - 2005 Remaster,5eqcF7pWzHgWpGdEmHgeSN,https://i.scdn.co/image/ab67616d00004851e71708b667804f6241dd1a59
2zdlkG9g5Mt0alUdqn7s3D,Talking Heads,I Zimbra - 2005 Remaster,5dVZpNJraoqCo3BssinMoo,https://i.scdn.co/image/ab67616d000048518365f74aa622b1b86962c8dd
6XvpjZugZzMHa2nZ1uPOka,Talking Heads,Air - 2005 Remaster,5dVZpNJraoqCo3BssinMoo,https://i.scdn.co/image/ab67616d000048518365f74aa622b1b86962c8dd
0Q2b6AxWV5tD117XktdQxl,Talking Heads,Heaven - Live,4FR8Z6TvIsC56NLyNomNRE,https://i.scdn.co/image/ab67616d000048514436f2e7c93002ad0eb9716a
18VUNjOq2uRYxZP6nQGJva,Talking Heads,Artists Only - 2005 Remaster,01RJdKvXyz515O37itqMIJ,https://i.scdn.co/image/ab67616d00004851b7307213fae24e3fbcbe46aa
4Gw9ACmKi3O2vP8UwJqF0M,Talking Heads,Memories Can't Wait - 2005 Remaster,5dVZpNJraoqCo3BssinMoo,https://i.scdn.co/image/ab67616d000048518365f74aa622b1b86962c8dd
7rRwsK0h5e53jMpkLyCzat,King Crimson,The Sheltering Sky,7KxUQCCvE0edGiqBS6ywEd,https://i.scdn.co/image/ab67616d00004851ea405d135941490220bcfe3d
4hnB3tR0ueIBnkaIvrlZtC,King Crimson,Indiscipline,7KxUQCCvE0edGiqBS6ywEd,https://i.scdn.co/image/ab67616d00004851ea405d135941490220bcfe3d
6Z9HVIvwKMEB1UoECSySdv,The Kinks,Living on a Thin Line,6UFbaKb6c5FGqoK6kH4WVu,https://i.scdn.co/image/ab67616d00004851af2fa9b5a397fb7e476060c6
0NtjyCrkeAs49gKiOsIUNw,King Crimson,Fallen Angel,2256qKBSQdt53T5dz4Kdcs,https://i.scdn.co/image/ab67616d000048514b89690216baf8e04fdd3056
2OsuNPRc9qt34UOatyrAlZ,Talking Heads,Making Flippy Floppy - 2005 Remaster,4sLCQxMRfn3gAHrBNZtbTH,https://i.scdn.co/image/ab67616d00004851e35e2e2a4bfa8a30a78fc532
1ziWFozxLNQH76CGGizB32,Talking Heads,"Uh-Oh, Love Comes to Town - 2005 Remaster",5eqcF7pWzHgWpGdEmHgeSN,https://i.scdn.co/image/ab67616d00004851e71708b667804f6241dd1a59
