,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,track,artist,imgUrl,album_id,track_id
0,0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,audio_features,150640,4,White Rabbit,Jefferson Airplane,https://i.scdn.co/image/ab67616d000048512dac7a01676ddb36c1d0ec05,6lPb7Eoon6QPbscWbMsk6a,4vpeKl0vMGdAXpZiQB2Dtd
1,0.365,0.77,9,-10.492,1,0.0764,0.21,0.136,0.503,0.37,130.603,audio_features,214640,4,Eight Miles High,The Byrds,https://i.scdn.co/image/ab67616d000048513f07e7daf8ef639ec8263b19,3dfPMayEO2G87wzXPMEvmb,2BGNomqCxEDcXyxf8bg27k
2,0.328,0.682,0,-11.844,1,0.0623,0.483,0.0,0.407,0.727,155.738,audio_features,264667,4,Ohio,"Crosby, Stills, Nash & Young",x,x,x
3,0.598,0.516,1,-12.487,0,0.0413,0.174,1.32e-06,0.0816,0.671,154.446,audio_features,199399,4,Sugar Magnolia - 2013 Remaster,Grateful Dead,https://i.scdn.co/image/ab67616d00004851fd3f66a9ce4371f7ffa0346f,2UDDZVesmQwA4aYfa55diS,2EB1aFLWC4uIfld5Z3Yj1z
4,0.634,0.809,4,-10.025,0,0.0335,0.163,0.00199,0.309,0.927,77.256,audio_features,216569,4,Alabama Getaway - 2013 Remaster,Grateful Dead,https://i.scdn.co/image/ab67616d00004851dd5ce8d59ef803b79aa3740e,6x3mttp1a5pLHj8rDDSEbT,5WVF1Ftv5oxspRac9km99R
5,0.454,0.374,7,-14.887,1,0.0406,0.232,0.0242,0.148,0.435,140.01,audio_features,982006,4,Terrapin Station Medley - 2014 Remaster,Grateful Dead,https://i.scdn.co/image/ab67616d000048510996318f9c63869e92f2a750,0WVDqz6ty88sjpbfvMqF98,2gdTkM0hL9KQipAx6aUT6L
6,0.583,0.718,1,-8.276,1,0.0394,0.11,0.104,0.124,0.8,111.309,audio_features,185890,4,I'm so Green,CAN,https://i.scdn.co/image/ab67616d00004851d46676a8276d8de4419fb2f6,0tSXpFCe7kYCbEUtURRNwp,3qkQKlxc9aNJ4kz4D4jUl7
7,0.764,0.48,0,-13.63,1,0.0819,0.416,0.316,0.107,0.705,110.175,audio_features,170667,4,Ghost Song,Jim Morrison,https://i.scdn.co/image/ab67616d00004851661df6aa776da029b6802c0e,7qj6lZyChZxDGAqzTArHHQ,5XTdMVT5i5qcfyTXWxhxVZ
8,0.465,0.477,0,-11.732,0,0.047,0.119,0.000976,0.102,0.681,126.97,audio_features,121263,5,Dizzy Dizzy,CAN,https://i.scdn.co/image/ab67616d0000485131396ea1e604f8e1ab453299,3fEBf5vX56CYwSFlwT9HT7,61urVkiNIPWCZWLeQ3hFGr
9,0.55,0.603,4,-10.375,0,0.0356,0.782,0.0606,0.141,0.474,136.718,audio_features,298987,5,Shadows Go Arab,Dissidenten,https://i.scdn.co/image/ab67616d00004851ed413e8b3cc7e41ec3ddffb4,3Vl1cnMHIBciZDPwmfZAk5,1nhGHV6oKcV5QjoXdLp7Rb
10,0.515,0.831,1,-7.747,1,0.0452,0.248,0.877,0.138,0.624,169.952,audio_features,239027,4,Broken Moon (30 Trillion & Mix),Dissidenten,https://i.scdn.co/image/ab67616d00004851196d56f3f000aa5d5dfcd0a0,4reOSuEGgezThUW5w5uzPR,4Xe1ehOyfz3PMpDKkzrZ5X
11,0.625,0.659,0,-11.681,1,0.0373,0.0528,0.0853,0.147,0.952,109.748,audio_features,282667,4,Shake the Sheikh,Dissidenten,https://i.scdn.co/image/ab67616d00004851b467d1f67c4b8dd439289602,0aAfFqBB1IseMDXBHWkT20,5GcKcEaMOViIyiWhL4Fe1J
12,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,audio_features,214733,4,American Girl,Tom Petty and the Heartbreakers,https://i.scdn.co/image/ab67616d000048517e42a53ea7f2ad4f36ab23a5,6TLTd0P2CUI0Q29AQ1LyFi,7MRyJPksH3G2cXHN8UKYzP
13,0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,audio_features,263333,4,Ramble On - 1990 Remaster,Led Zeppelin,https://i.scdn.co/image/ab67616d00004851fc4f17340773c6c3579fea0d,70lQYZtypdCALtFVlQAcvx,3MODES4TNtygekLl146Dxd
14,0.649,0.939,7,-5.419,1,0.0419,0.046,0.0,0.385,0.975,122.9,audio_features,212267,4,Radio Head - 2005 Remaster,Talking Heads,https://i.scdn.co/image/ab67616d000048513b41840563e4b7823db5c306,4LiLg6t10oOw8csXA1CQ0Y,4vdgmV1Z2SxdrfT2bjJip6
15,0.558,0.874,2,-8.982,1,0.0358,0.1,0.0158,0.822,0.727,145.971,audio_features,360640,4,What a Day That Was - Live; Edit,Talking Heads,https://i.scdn.co/image/ab67616d000048514436f2e7c93002ad0eb9716a,4FR8Z6TvIsC56NLyNomNRE,1qRbIDeJnmfnglzlJI8kOK
