danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,track,artist
0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,audio_features,150640,4,White Rabbit,Jefferson Airplane
0.365,0.77,9,-10.492,1,0.0764,0.21,0.136,0.503,0.37,130.603,audio_features,214640,4,Eight Miles High,The Byrds
0.328,0.682,0,-11.844,1,0.0623,0.483,0.0,0.407,0.727,155.738,audio_features,264667,4,Ohio,"Crosby, Stills, Nash & Young"
0.598,0.516,1,-12.487,0,0.0413,0.174,1.32e-06,0.0816,0.671,154.446,audio_features,199399,4,Sugar Magnolia - 2013 Remaster,Grateful Dead
0.634,0.809,4,-10.025,0,0.0335,0.163,0.00199,0.309,0.927,77.256,audio_features,216569,4,Alabama Getaway - 2013 Remaster,Grateful Dead
0.454,0.374,7,-14.887,1,0.0406,0.232,0.0242,0.148,0.435,140.01,audio_features,982006,4,Terrapin Station Medley - 2014 Remaster,Grateful Dead
0.583,0.718,1,-8.276,1,0.0394,0.11,0.104,0.124,0.8,111.309,audio_features,185890,4,I'm so Green,CAN
0.764,0.48,0,-13.63,1,0.0819,0.416,0.316,0.107,0.705,110.175,audio_features,170667,4,Ghost Song,Jim Morrison
0.465,0.477,0,-11.732,0,0.047,0.119,0.000976,0.102,0.681,126.97,audio_features,121263,5,Dizzy Dizzy,CAN
0.55,0.603,4,-10.375,0,0.0356,0.782,0.0606,0.141,0.474,136.718,audio_features,298987,5,Shadows Go Arab,Dissidenten
0.515,0.831,1,-7.747,1,0.0452,0.248,0.877,0.138,0.624,169.952,audio_features,239027,4,Broken Moon (30 Trillion & Mix),Dissidenten
0.625,0.659,0,-11.681,1,0.0373,0.0528,0.0853,0.147,0.952,109.748,audio_features,282667,4,Shake the Sheikh,Dissidenten
0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,audio_features,214733,4,American Girl,Tom Petty and the Heartbreakers
0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,audio_features,263333,4,Ramble On - 1990 Remaster,Led Zeppelin
0.649,0.939,7,-5.419,1,0.0419,0.046,0.0,0.385,0.975,122.9,audio_features,212267,4,Radio Head - 2005 Remaster,Talking Heads
