endTime,artistName,trackName,msPlayed
2023-12-05 21:40,Jasper van't Hofs Pili Pili,Courage,1962
2023-12-06 06:06,Derek & The Dominos,I Looked Away,1069
2023-12-06 06:06,Buffalo Springfield,Mr. Soul,4545
2023-12-06 06:06,Arlo Guthrie,Coming into Los Angeles - Remastered,1528
2023-12-06 06:06,Big Brother & The Holding Company,Combination of the Two,1652
2023-12-06 06:06,Traffic,Light Up Or Leave Me Alone,1525
2023-12-06 06:09,Cream,Badge,164706
2023-12-06 06:11,Led Zeppelin,Black Mountain Side - 1993 Remaster,125666
2023-12-06 06:16,The Rolling Stones,2000 Light Years From Home - Stereo / Remastered,284893
2023-12-06 06:19,The Rolling Stones,Child Of The Moon,189653
2023-12-06 06:25,Pink Floyd,One Of These Days - 2011 Remastered Version,355400
2023-12-06 06:32,Santana,Soul Sacrifice,397333
2023-12-06 06:37,Jimi Hendrix,"Changes - Live At Fillmore East, 1970 / 50th Anniversary",311933
2023-12-06 06:40,The Yardbirds,Heart Full of Soul - 2015 Remaster,147893
2023-12-06 06:40,Quicksilver Messenger Service,Who Do You Love - Pt. 1,568
2023-12-06 06:44,Jethro Tull,A Song for Jeffrey - Mono,204640
2023-12-06 06:46,13th Floor Elevators,You're Gonna Miss Me (2008 Remastered Original Mono LP Version),146737
2023-12-06 07:00,The Paul Butterfield Blues Band,East-West,791800
2023-12-06 07:04,Buffalo Springfield,Everydays - Live,162906
2023-12-06 07:07,The Doors,The Crystal Ship,152000
2023-12-06 07:10,John Lennon,Gimme Some Truth - Remastered 2010,197813
2023-12-06 07:14,Love,A House Is Not a Motel - 2015 Remaster,211701
2023-12-06 07:18,Ten Years After,Hard Monkeys - 2004 Remaster,191426
2023-12-06 07:23,Buffalo Springfield,Bluebird,275760
2023-12-06 07:27,Peter Green,In the Skies,229000
2023-12-06 07:30,The Beatles,Sexy Sadie - Remastered 2009,195266
2023-12-06 07:33,The Byrds,5D (Fifth Dimension),153426
2023-12-06 07:34,Quicksilver Messenger Service,Mona,9966
2023-12-06 07:36,Buffalo Springfield,Rock & Roll Woman,165846
2023-12-06 07:43,Santana,Song of the Wind,368200
2023-12-06 07:49,Focus,Hocus Pocus - Extended Version,402560
2023-12-06 07:53,King Crimson,Book Of Saturday,175720
2023-12-06 08:01,King Crimson,In The Wake Of Poseidon,476866
2023-12-06 08:08,Colosseum,Butty's Blues,403866
2023-12-06 08:12,Focus,Janis,188106
2023-12-06 08:15,King Crimson,Starless,5106
2023-12-06 08:15,Focus,Mother Focus,184693
2023-12-06 08:15,Graham Nash,Better Days,1129
2023-12-06 08:21,East Of Eden,Nymphenburger,375693
2023-12-06 08:24,Frank Zappa,Blessed Relief,70032
2023-12-06 08:24,Colosseum,The Valentyne Suite: January's Search / February's Valentyne / The Grass Is Always Greener,18719
2023-12-06 08:25,Joël Fajerman,Racines synthétiques,8852
2023-12-06 08:25,Osibisa,Jumbo,4821
2023-12-06 08:25,The B-52's,Deep Sleep,1202
2023-12-06 08:36,Tangerine Dream,Stratosfear,3178
2023-12-06 09:12,Tom Petty and the Heartbreakers,Anything That's Rock 'n' Roll,5128
2023-12-06 09:14,Jasper van't Hofs Pili Pili,"No Money, No Tolerance",2260
2023-12-06 09:14,Tom Petty and the Heartbreakers,Listen to Her Heart,53418
2023-12-06 09:37,Jasper van't Hofs Pili Pili,Uneven Image,152405
2023-12-06 14:09,Van Halen,Eruption - 2015 Remaster,35312
2023-12-06 14:09,John Paul Jones,Leafy Meadows,3866
2023-12-06 14:10,Nucleus,Taranaki,1725
2023-12-06 14:10,"Speed, Glue & Shinki",DON'T SAY NO - 2017 Remaster,2516
2023-12-06 14:10,Ian Carr,Roots,3271
2023-12-06 14:10,Kikagaku Moyo,Green Sugar,2472
2023-12-06 14:32,Gábor Szabó,Song of Injured Love - 2022 Remastered Version,5034
2023-12-06 14:38,Gábor Szabó,Song of Injured Love - 2022 Remastered Version,241219
2023-12-06 14:40,Weather Report,Rumba Mama,33100
2023-12-06 14:45,Hailu Mergia,Anchin Kfu Ayinkash,324880
2023-12-06 14:57,Osamu Kitajima,Taiyo the Sun,114259
2023-12-06 17:59,East Of Eden,Uno Transito Clapori,149520
2023-12-06 18:11,East Of Eden,Isadora,63254
2023-12-07 08:32,Warren Zevon,Keep Me in Your Heart,2616
2023-12-07 08:32,Dan Auerbach,"Heartbroken, In Disrepair",2536
2023-12-07 08:32,The Beatles,From Me To You - 2023 Mix,1318
2023-12-07 08:38,Eddie Vedder,No Ceiling,785
2023-12-07 08:38,Eddie Vedder,Hard Sun,322080
2023-12-07 08:38,Ryan Adams,"To Be Young (Is to Be Sad, Is to Be High)",45512
2023-12-07 08:42,John Mayall,Someone's Acting Like A Child,208213
2023-12-07 08:42,The Black Keys,I Got Mine,4914
2023-12-07 08:52,The White Stripes,I Just Don't Know What to Do With Myself,19775
2023-12-07 10:12,Triumvirat,The Capitol Of Power,2942
2023-12-07 10:36,Focus,Eruption,832471
2023-12-07 13:48,Jethro Tull,Living in the Past - 2001 Remaster,886
2023-12-07 13:48,David Gilmour,There's No Way out of Here - 2006 Remaster,2655
2023-12-07 13:48,Jethro Tull,We Used to Know,1192
2023-12-07 13:48,Jethro Tull,Cheap Day Return,1121
2023-12-07 13:56,Deep Purple,Lazy - Remastered 2012,442840
2023-12-07 13:59,The Moody Blues,The Story In Your Eyes,176573
2023-12-07 14:03,Jethro Tull,Teacher - Single Mix; 2001 Remaster,3252
2023-12-07 14:03,Ten Years After,Here They Come - 2004 Remaster,275506
2023-12-07 14:04,Pink Floyd,One Of These Days - 2011 Remastered Version,1300
2023-12-07 14:10,Yes,"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",413346
2023-12-07 14:15,Jethro Tull,Really Don't Mind / See There a Son Is Born - Steven Wilson Stereo Remix,300037
2023-12-07 14:19,Pink Floyd,The Gold It's In The ... - 2011 Remastered Version,187813
2023-12-07 14:24,Jethro Tull,Cross-Eyed Mary,250200
2023-12-07 14:26,Spirit,Taurus,157133
2023-12-07 14:30,Jethro Tull,A Song for Jeffrey - Mono,204640
2023-12-07 14:34,Focus,Mother Focus,184693
2023-12-07 14:37,Focus,Sylvia,211733
2023-12-07 14:40,Focus,Black Beauty,188066
2023-12-07 14:47,Supertramp,Crime Of The Century - Remastered 2010,332992
2023-12-07 14:50,Focus,Janis,188106
2023-12-07 15:01,Rush,La Villa Strangiato,574733
2023-12-07 15:07,Focus,Focus III,364240
2023-12-07 15:17,Yes,Siberian Khatru - 2003 Remaster,532946
2023-12-07 15:29,Frank Zappa,Sleep Dirt,2573
2023-12-07 15:29,Soft Machine,Joy Of A Toy,3072
2023-12-07 15:29,Iron Butterfly,Most Anything You Want,133373
2023-12-07 15:32,Gong,Where Have All The Flowers Gone - Remastered 2018,187560
2023-12-07 15:39,Focus,Hocus Pocus - Extended Version,402560
2023-12-07 15:45,East Of Eden,Nymphenburger - Remastered 1985,374906
2023-12-07 15:46,Miles Davis,"Spanish Key (feat. Wayne Shorter, Bennie Maupin, John McLaughlin, Chick Corea, Joe Zawinul, Dave Holland & Harvey Brooks)",1283
2023-12-07 15:46,Ginger Baker,Brain Damage,1405
2023-12-07 15:46,East Of Eden,Gum Arabic,7777
2023-12-07 16:02,Colosseum,The Valentyne Suite: January's Search / February's Valentyne / The Grass Is Always Greener,1012960
2023-12-07 16:07,Jean-Luc Ponty,New Country,188640
2023-12-07 16:07,Sadja,Sadja,4849
2023-12-07 16:10,Premiata Forneria Marconi,Worlds Beyond - English version,197560
2023-12-07 16:22,Colosseum,Elegy,146494
2023-12-07 20:45,Miles Davis,Honky Tonk,33750
2023-12-07 20:51,Faces,Debris,10648
2023-12-07 20:51,Hailu Mergia,Wede Harer Guzo,93886
2023-12-07 20:59,Hailu Mergia,Wede Harer Guzo,301883
2023-12-07 21:01,Hailu Mergia,Yefkir Engurguro - Mixed,77976
2023-12-07 21:02,Ry Cooder,How Can a Poor Man Stand Such Times and Live?,10519
2023-12-07 21:02,Buena Vista Social Club,Bodas de Oro (feat. Rubén González & Jesús Ramos),45928
2023-12-07 21:02,Peter Green,Slabo Day,4196
2023-12-07 21:03,The Notting Hillbillies,Run Me Down,25613
2023-12-07 21:03,Henry Kaiser,Ants and Chimps,2835
2023-12-07 21:03,Peter Green,In the Skies,1335
2023-12-07 21:16,Mike Bloomfield,Stop,144469
2023-12-08 06:10,Mike Bloomfield,Stop,116075
2023-12-08 06:12,Corey Harris,Coahoma,109066
2023-12-08 06:15,Traffic,(Roamin' Thro' The Gloamin' With) 40.000 Headman,139037
2023-12-08 06:16,Jimi Hendrix,"Changes - Live At Fillmore East, 1970 / 50th Anniversary",2130
2023-12-08 06:16,Big Brother & The Holding Company,I Need a Man to Love,817
2023-12-08 06:20,The Doors,Maggie M'Gill,264333
2023-12-08 06:24,Jimi Hendrix,Manic Depression,222226
2023-12-08 06:28,Arlo Guthrie,Coming into Los Angeles - Remastered,8719
